GEOID_2020,GEOID_2010,area_weight_frx,total_frx_chk
27085950700,27085950700,1,1
27017070200,27017070200,0.9901701478653313,1
27017070200,27017070100,0.009829852134668736,1
27017070600,27017070500,0.01044007668807322,1
27017070600,27017070600,0.9825548734112989,1
27017070600,27017940000,0.007005049900627862,1
27017070100,27137011100,0.0018278912741201035,1
27017070100,27017070400,0.0026191011863376593,1
27017070100,27017070300,0.010503152481178817,1
27017070100,27017070100,0.9850498550583635,1
27017070300,27017070300,0.9988047664486724,1
27017070300,27017070100,0.0011952335513275767,1
27017940000,27017070600,0.041587942832624625,1
27017940000,27017070400,0.001194426302382555,1
27017940000,27017070100,0.0012907852797224791,1
27017940000,27017940000,0.9559268455852704,1
27021960301,27021960301,1,1
27059130302,27059130302,1,1
27059130501,27059130501,1,1
27081201002,27081201002,1,1
27081201001,27081201001,1,1
27103480502,27013170200,0.00668357931643721,1
27103480502,27103480502,0.9933164206835627,1
27111960102,27111960102,1,1
27141030504,27141030503,0.012740912462933768,1
27141030504,27141030504,0.9872590875370663,1
27145000402,27145000402,1,1
27015960102,27015960700,0.017662016112870053,1
27015960102,27015960102,0.9823379838871299,1
27159480100,27159480100,1,1
27159480300,27111961300,8.557226743662989e-4,1
27159480300,27159480200,0.015356429908528325,1
27159480300,27159480300,0.9837878474171055,1
27159480200,27159480200,1,1
27107960300,27107960300,1,1
27107960200,27107960200,1,1
27107960100,27107960100,1,1
27007450500,27007450500,1,1
27007450300,27007450300,1,1
27037060841,27037060825,1,1
27037060836,27037060902,0.011758269327651961,1
27037060836,27037060821,0.988241730672348,1
27037060835,27037060820,1,1
27037060837,27037060906,0.007838621424400002,1
27037060837,27037060821,0.9921613785756,1
27037060830,27037060817,1,1
27037061110,27037061401,0.0019090231517264165,1
27037061110,27037061108,0.9980909768482736,1
27147960400,27147960100,9.407445780711222e-4,1
27147960400,27147960400,0.999059255421929,1
27147960500,27147960500,1,1
27147960700,27147960700,1,1
27147960300,27147960300,1,1
27147960800,27147960800,1,1
27147960600,27147960400,0.0035385890922280355,1
27147960600,27147960600,0.996461410907772,1
27147960100,27147960100,1,1
27147960200,27147960200,1,1
27171100500,27171100500,1,1
27171100300,27171100300,1,1
27163071209,27163071209,1,1
27163071102,27163070701,7.071002204991108e-4,1
27163071102,27163071102,0.9992928997795009,1
27163070403,27163070403,1,1
27027020500,27027020500,1,1
27043460600,27043460600,1,1
27043460200,27043460200,1,1
27043460300,27043460300,1,1
27043460100,27043460100,1,1
27043460500,27043460500,1,1
27043460400,27043460400,1,1
27027020600,27027020600,1,1
27113090100,27113090100,1,1
27113090200,27113090200,1,1
27113090500,27113090200,0.005773129606765071,1
27113090500,27113090500,0.994226870393235,1
27113090300,27113090300,1,1
27113090400,27113090200,0.0010939947352188635,1
27113090400,27113090400,0.9989060052647811,1
27163070103,27163070103,0.9947587241491109,1
27163070103,27003050210,0.005241275850889043,1
27163070104,27163070104,1,1
27163070204,27163070204,0.9979379927419885,1
27163070204,27163070403,0.0013373740613281894,1
27163070204,27003050230,7.246331966833923e-4,1
27163070205,27025110600,5.96537270872939e-4,1
27163070205,27163070205,0.9983746221309718,1
27163070205,27163070105,0.0010288405981552745,1
27163070301,27163070301,0.9918012351457255,1
27163070301,27163070403,0.00819876485427454,1
